[2025-03-07 12:27:16,505] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,511] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,517] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,520] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,520] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,520] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,526] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,532] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,538] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,538] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,544] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,550] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,556] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,562] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,567] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,572] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,572] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,572] INFO [Broker id=0] Leader firt_topic-0 with topic id Some(7HWbEixyRRGLSH0hbg0N0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,577] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,583] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,588] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,593] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(d43FNzJkT9KKn74Zy0q9jg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-07 12:27:16,611] INFO [Broker id=0] Finished LeaderAndIsr request in 261ms correlationId 1 from controller 0 for 56 partitions (state.change.logger)
[2025-03-07 12:27:16,617] INFO [Broker id=0] Add 56 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 6 with correlation id 2 (state.change.logger)
